"Location","Elevation (m)","Ascent (m)","Descent (m)","Distance (km)","Total Distance (km)","Total Ascent (m)","Total Descent (m)","Notes"
"Uretiti Beach Campsite","1","1","2","1.4","423","8279","8427","km 421.5 | Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Waipu area | Region: Northland"
"Waipu","10","22","13","6.9","429.9","8301","8440","km 428.4 | Four Square, cafes, hotel with budget rooms. Camp Waipu Cove has a dairy."
"430 km","19","9","0","1.7","431.6","8310","8440","Bream Bay Walk"
"440 km","202","285","102","9.9","441.5","8595","8542","Cullen Brynderwyn Walkway"
"Waorahi Campsite","261","201","142","4.3","445.8","8796","8684","km 444.3 | "
"450 km","110","162","313","5.6","451.4","8958","8996","Bream Tail to Mangawhai Cliffs Walkway"
"Mangawhai Heads Holiday Park","8","243","346","7","458.4","9201","9342","km 456.9 | "
"Mangawhai Heads","29","36","15","1.4","459.8","9237","9357","km 458.4 | Four Square at 3 Wood St. Holiday park."
"460 km","17","12","24","1.6","461.4","9248","9380","Mangawhai to Pākiri"
"Mangawhai","8","14","23","2.8","464.2","9263","9404","km 462.8 | New World 1 km north of the village, plus a Four Square."
"Riverside Holiday Park","7","6","7","1.5","465.7","9268","9410","km 464.3 | Facilities: Holiday park accommodation, camping ground | Address: Black Swamp Road, Mangawhai | Phone: (09) 431 4825 | Website: https://www.riversideholidaypark.co.nz/ | Categories: LodgingBusiness"
"470 km","2","21","26","5.6","471.3","9289","9436","Mangawhai to Pākiri"
"Pakiri Beach Holiday Park","11","100","91","15.6","486.9","9390","9528","km 485.5 | Facilities: Holiday park, campground, accommodation, lodges, flats, self contained units, store. Dump station. | Address: 261 Pakiri River Road, Pakiri | Phone: (09) 422 6199 | Hours: 9:00am - 5:00pm | Website: http://www.pakiriholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"Pakiri Beach Holiday Park","17","26","20","2.6","489.5","9415","9547","km 488.1 | Camp store: food, drinks, milk, bread. 9am-5pm summer only."
"490 km","305","288","0","1.9","491.4","9703","9547","Mt Tamahunga (Te Hīkoi O Te Kiri) Track"
"500 km","358","542","488","10","501.5","10244","10035","Govan Wilson to Pūhoi Valley"
"510 km","291","532","599","10.1","511.6","10776","10634","Govan Wilson to Pūhoi Valley"
"520 km","62","302","531","10","521.6","11078","11165","Govan Wilson to Pūhoi Valley"
"530 km","179","409","292","10","531.6","11487","11457","Govan Wilson to Pūhoi Valley"
"Remiger Road Campsite","25","60","214","3.2","534.8","11547","11671","km 533.2 | Category: Backcountry | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Remiger Rd | Region: Puhoi"
"Puhoi","20","238","243","6","540.8","11785","11914","km 539.1 | General store 7am-7pm, historic pub, three cafes."
"540 km","20","2","2","0.9","541.6","11787","11916","Pūhoi to Wenderholm Kayak"
"Wenderholm Regional Park","16","190","194","9.5","551.1","11977","12110","km 549.4 | Facilities: camping, bbq, beach, picnic | Address: 37 Schishka Rd,Hibiscus Coast, Rodney County | Phone: (09) 301 0101 | Hours: Summer: 6:00am - 9:00pm Winter: 6:00am - 7:00pm | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3411 | Categories: Park"
"550 km","24","26","19","0.6","551.7","12004","12129","Wenderholm to Stillwater"
"Ōrewa Beach Holiday Park","0","70","93","8.3","560","12073","12222","km 558.3 | Facilities: Holiday park accommodation, tent sites for camping, powered sites for campervans, cabins | Address: 265 Hibiscus Coast Highway, Orewa Beach | Phone: 0800 673 921 | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about | Categories: RVPark LodgingBusiness"
"560 km","5","27","22","1.7","561.7","12101","12245","Wenderholm to Stillwater"
"Silverdale","16","51","40","2.9","564.6","12152","12285","km 562.9 | Silverdale Centre: Woolworths, Macpac, Kathmandu, ATMs."
"570 km","78","201","139","7.1","571.7","12353","12424","Wenderholm to Stillwater"
"580 km","12","319","386","10","581.7","12673","12809","North Shore Coastal Walk"
"Browns Bay","3","112","121","6.5","588.2","12784","12930","km 586.6 | New World and Countdown."
"590 km","5","105","104","3.4","591.7","12889","13034","North Shore Coastal Walk"
"600 km","20","110","95","10","601.7","13000","13128","North Shore Coastal Walk"
"Devonport","4","83","99","5.6","607.3","13082","13228","km 605.6 | New World. Ferry to the city."
"610 km","100","127","30","7.4","614.6","13209","13258","Coast to Coast Walkway"
"620 km","9","162","253","10.1","624.7","13371","13511","Coast to Coast Walkway"
"Mangere Bridge","2","5","12","2.7","627.4","13376","13523","km 622.8 | FreshChoice, slightly off trail."
"Ambury Regional Park","1","11","12","3.5","630.9","13386","13534","km 626.3 | Facilities: Regional park, working farm, picnic sites, campervan parking, camping ground accommodation | Address: Ambury Road, Mangere | Phone: 09 301 0101 | Hours: 8am-6:30pm (winter), 8am-9pm (summer) | Website: https://www.aucklandcouncil.govt.nz/parkmaps/map-ambury-regional-park.pdf | Categories: Park"
"630 km","1","5","5","3.7","634.6","13392","13539","Onehunga to Puhinui"
"640 km","3","38","36","10","644.6","13430","13576","Onehunga to Puhinui"
"650 km","20","38","21","10","654.6","13468","13597","Puhinui Stream Track"
"660 km","6","47","61","10.2","664.8","13515","13658","Botanic Gardens to Mangatāwhiri"
"670 km","45","65","26","9.9","674.7","13580","13684","Botanic Gardens to Mangatāwhiri"
"680 km","265","254","33","9.9","684.6","13833","13717","Botanic Gardens to Mangatāwhiri"
"690 km","40","286","511","9.9","694.5","14119","14228","Botanic Gardens to Mangatāwhiri"
"700 km","20","20","40","10","704.5","14139","14268","Mangatāwhiri to Mercer"
"Mercer","20","7","7","3","707.5","14146","14275","km 703.0 | Service centre with food outlets; motel with camping."
"710 km","20","112","112","7","714.5","14258","14387","Mercer to Rangiriri"
"720 km","20","7","7","10","724.5","14265","14394","Mercer to Rangiriri"
"730 km","13","11","18","10","734.6","14276","14412","Rangiriri to Huntly"
"740 km","12","8","9","10","744.6","14284","14421","Rangiriri to Huntly"
"750 km","20","29","21","10.1","754.7","14313","14442","Rangiriri to Huntly"
"760 km","323","747","444","9.8","764.4","15059","14886","Hakarimata Walkway"
"Ngaruawahia","20","81","384","4.5","768.9","15141","15270","km 764.5 | New World and cafes."
"770 km","18","6","8","5.5","774.4","15147","15278","Ngāruawāhia to Hamilton - Te Awa (The River)"
"780 km","20","23","21","10","784.4","15170","15299","Ngāruawāhia to Hamilton - Te Awa (The River)"
"Hamilton","44","36","12","5.5","789.9","15206","15311","km 785.5 | Pak'nSave, Woolworths, Trek N Travel outdoor store. Full gear replacement."
"790 km","40","2","6","4.5","794.4","15208","15317","Hamilton City"
"Whatawhata","22","67","85","9.7","804.2","15275","15401","km 799.8 | Petrol station store, gastro pub and village cafe."
"800 km","20","0","2","0.2","804.4","15275","15403","Waipā Walk"
"810 km","173","221","68","10","814.3","15495","15472","Waipā Walk"
"820 km","66","340","447","10","824.3","15835","15919","Waipā Walk"
"Kaniwhaniwha Campsite","134","132","63","4.7","829.1","15967","15982","km 824.7 | Category: Basic | Facilities: Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"830 km","679","551","6","5.1","834.2","16518","15988","Pirongia Traverse"
"Pāhautea Hut","901","309","87","3","837.2","16827","16075","km 833.0 | Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"Pahautea Hut Campsite","901","0","0","0","837.2","16827","16075","km 833.0 | Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"840 km","538","285","649","6.9","844.1","17112","16723","Pirongia to Waitomo"
"850 km","339","138","336","10","854.1","17250","17059","Pirongia to Waitomo"
"860 km","394","337","282","10","864.1","17586","17341","Pirongia to Waitomo"
"870 km","378","374","390","10","874.1","17960","17731","Pirongia to Waitomo"
"880 km","157","368","590","10","884.1","18328","18320","Pirongia to Waitomo"
"Waitomo Top 10 Holiday Park","64","54","146","3.1","887.2","18382","18466","km 883.1 | Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 12 Waitomo Village Road Waitomo Caves Village 3977 | Phone: (07) 878 7639 | Hours: 9:00am - 8:00pm | Website: http://www.waitomopark.co.nz | Categories: RVPark LodgingBusiness"
"Waitomo","79","14","0","0.2","887.4","18396","18466","km 883.2 | Waitomo Village Store 7am-7pm, expensive. Cafes and restaurants."
"890 km","56","302","325","6.7","894.1","18698","18791","Pehitawa Track"
"Te Kuiti","60","315","311","8.7","902.8","19013","19102","km 898.8 | New World and SuperValue."
"900 km","60","0","0","1.2","904","19013","19102","Te Kūiti to Pureora"
"910 km","123","365","302","10.1","914.1","19379","19405","Te Kūiti to Pureora"
"920 km","199","243","167","9.7","923.8","19622","19572","Te Kūiti to Pureora"
"930 km","360","224","63","10.2","933.9","19846","19634","Te Kūiti to Pureora"
"940 km","489","194","65","10","943.9","20040","19700","Te Kūiti to Pureora"
"950 km","522","86","52","10","953.9","20125","19752","Te Kūiti to Pureora"
"Ngaherenga Campsite","566","55","11","6.2","960.1","20180","19763","km 956.3 | Category: Standard | Facilities: BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"960 km","621","60","5","3.5","963.6","20240","19768","Pureora Forest - The Timber Trail"
"970 km","905","580","296","9.9","973.5","20820","20064","Pureora Forest - The Timber Trail"
"980 km","624","143","424","10.1","983.6","20963","20488","Pureora Forest - The Timber Trail"
"990 km","481","186","329","10","993.6","21149","20817","Pureora Forest - The Timber Trail"
"Piropiro Campsite","436","2","47","2.1","995.7","21151","20864","km 992.2 | Category: Basic | Facilities: Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"1000 km","604","305","138","7.9","1003.6","21456","21001","Pureora Forest - The Timber Trail"
"1010 km","433","107","278","10","1013.6","21563","21279","Pureora Forest - The Timber Trail"
"1020 km","515","238","156","10.1","1023.6","21801","21435","Pureora Forest - The Timber Trail"
"1030 km","205","103","413","10","1033.6","21904","21848","Pureora Forest - The Timber Trail"
"Ongarue Campsite","199","14","20","3.9","1037.5","21918","21868","km 1033.9 | Facilities: Te Araroa"
"1040 km","198","56","57","6.1","1043.6","21974","21925","Pureora Forest - The Timber Trail"
"1050 km","180","134","153","10","1053.5","22109","22077","Pureora Forest - The Timber Trail"
"1060 km","174","49","55","10.4","1064","22158","22133","Pureora Forest - The Timber Trail"
"Taumarunui","173","0","1","0.1","1064.1","22158","22134","km 1060.5 | New World at the west end. Seriously Outdoors for gear; canoe hire."
"1070 km","170","161","164","9.6","1073.6","22319","22298","42 Traverse"
"1080 km","397","338","110","9.9","1083.5","22657","22408","42 Traverse"
"Owhango","440","167","124","7","1090.5","22823","22532","km 1087.0 | Blue Hill Cafe, 8am-2pm."
"1090 km","391","63","112","3","1093.6","22886","22644","42 Traverse"
"1100 km","520","380","251","9.9","1103.5","23266","22895","42 Traverse"
"1110 km","462","382","440","9.9","1113.4","23648","23335","42 Traverse"
"1120 km","725","445","183","10","1123.4","24093","23518","42 Traverse"
"1130 km","734","133","124","9.9","1133.3","24227","23642","42 Traverse"
"1140 km","1486","866","113","10","1143.4","25093","23756","Tongariro Alpine Crossing"
"1150 km","1300","402","588","9.9","1153.3","25495","24344","Tongariro Alpine Crossing"
"Waihohonu Campsite","1099","227","428","6.3","1159.6","25722","24772","km 1156.4 | Category: Serviced | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"Waihohonu Hut","1101","2","0","0.1","1159.7","25724","24772","km 1156.5 | Category: Serviced | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1160 km","1176","92","17","3.5","1163.2","25816","24789","Tongariro Alpine Crossing"
"1170 km","1187","269","258","9.9","1173.1","26085","25046","Tongariro Alpine Crossing"
"Whakapapa Village","1128","25","85","2","1175.1","26110","25131","km 1172.1 | Camp store carries little more than ice blocks and muesli bars. Not a resupply."
"Whakapapa Holiday Park","1137","8","0","0.2","1175.3","26118","25131","km 1172.3 | Facilities: Holiday park accommodation. DOC conservation campsite, tent sites for camping, powered sites for campervans | Address: Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu | Phone: 07 892 3897 | Website: https://www.whakapapa.net.nz/ | Categories: RVPark LodgingBusiness"
"1180 km","1123","267","281","7.6","1182.8","26385","25411","Mangatepopo to National Park"
"Mangahuia Campsite","881","22","264","5.7","1188.5","26407","25675","km 1185.6 | Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tongariro National Park | Region: Central North Island"
"National Park (Waimarino)","802","16","94","7.5","1196.1","26423","25769","km 1193.2 | Four Square, well stocked with dehydrated meals and gas. First real shop since Whanganui."
"1200 km","690","116","229","6.8","1202.9","26539","25998","National Park to Whanganui River"
"1210 km","281","184","593","9.9","1212.8","26723","26591","National Park to Whanganui River"
"1220 km","207","75","149","10","1222.9","26798","26740","National Park to Whanganui River"
"1230 km","179","230","258","10","1232.9","27028","26998","National Park to Whanganui River"
"1240 km","131","266","314","10.1","1243","27294","27312","National Park to Whanganui River"
"Whakahoro","120","94","105","4.6","1247.7","27388","27417","km 1244.8 | Blue Duck Cafe 8am-3pm Thu-Mon. DoC campsite. Blue Duck Station does meals and accommodation. Accepts resupply boxes."
"Whakahoro Campsite","131","11","0","0.1","1247.8","27399","27417","km 1244.9 | Category: Great Walk | Facilities: Boat launching, Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1250 km","141","182","171","5.1","1252.9","27580","27588","National Park to Whanganui River"
"Mosley's Campsite","248","171","64","4.2","1257.1","27751","27652","km 1254.2 | Category: Backcountry | Facilities: 10 non powered tent sites | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1260 km","570","457","136","5.8","1262.9","28208","27787","National Park to Whanganui River"
"Mangapurua Trig Campsite","623","82","29","0.8","1263.7","28290","27816","km 1260.7 | Category: Backcountry | Facilities: Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"Johnsons Campsite","241","90","472","6.1","1269.8","28380","28288","km 1266.7 | Category: Backcountry | Facilities: 10 non powered sites, Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1270 km","194","49","96","3.3","1273.1","28428","28384","National Park to Whanganui River"
"Bettjemann Campsite","191","0","3","0.3","1273.4","28428","28386","km 1270.2 | Category: Backcountry | Facilities: Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1280 km","86","386","491","9.7","1283.1","28814","28877","National Park to Whanganui River"
"Mangapurua Campsite","67","120","139","1.8","1284.9","28934","29015","km 1281.8 | Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1290 km","46","45","66","8.2","1293.1","28978","29081","Whanganui River - via Whanganui River"
"Tīeke Marae/kāinga","42","3","7","2.1","1295.3","28981","29088","km 1292.0 | Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"Tīeke Marae/kāinga Campsite","42","0","0","0","1295.3","28981","29088","km 1292.0 | Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1300 km","41","108","108","8.1","1303.4","29089","29196","Whanganui River - via Whanganui River"
"Ngaporo Campsite","88","111","65","4.3","1307.7","29200","29261","km 1304.5 | Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1310 km","41","57","104","5.3","1313","29257","29365","Whanganui River - via Whanganui River"
"Pipiriki","40","2","3","3.8","1316.7","29259","29368","km 1313.6 | Minimal cafe and shop at the campground. Jetboat transfers."
"1320 km","40","3","3","6.6","1323.3","29261","29370","Whanganui River - via Whanganui River"
"1330 km","20","12","32","9.8","1333.2","29273","29402","Whanganui River - via Whanganui River"
"Matahiwi","20","3","3","5.9","1339.1","29276","29405","km 1335.8 | Matahiwi Gallery and Cafe: coffee, cold drinks, local knowledge."
"1340 km","21","4","3","4","1343.1","29280","29408","Whanganui River - via Whanganui River"
"1350 km","20","7","8","9.8","1353","29287","29416","Whanganui River - via Whanganui River"
"Downes Hut","21","2","1","2.6","1355.6","29289","29417","km 1352.6 | Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1360 km","20","5","7","7.8","1363.3","29294","29423","Whanganui River - via Whanganui River"
"1370 km","20","6","6","9.9","1373.2","29300","29429","Whanganui River - via Whanganui River"
"1380 km","20","7","7","10","1383.3","29307","29436","Whanganui River - via Whanganui River"
"1390 km","20","8","8","9.5","1392.7","29315","29444","Whanganui River - via Whanganui River"
"Wanganui Top 10 Holiday Park","20","0","0","7.1","1399.9","29315","29444","km 1396.7 | Facilities: Holiday park accommodation, motel units, campground, motorhomes, campervans, tent & powered sites | Address: 460 Somme Parade, Upper Aramoho, Wanganui | Phone: (06) 343 8402 | Website: http://www.wrivertop10.co.nz | Categories: RVPark LodgingBusiness"
"1400 km","20","0","0","3.2","1403","29315","29444","Whanganui River - via Whanganui River"
"Caroline's Outback Camping Ground","20","0","0","0.3","1403.3","29315","29444","km 1400.1 | Facilities: Bar & restaurant. Campervan park accommodation: tent sites for camping, powered sites for caravans & campervans, dump station | Address: 181 Somme Parade, Aramoho, Wanganui | Phone: (06) 281 3377 | Website: https://nzcamping.com/camp-directory/camp-listing/north-island/whanganui-manawatu/carolines-outback-camping-ground/ | Categories: BarOrPub Restaurant RVPark LodgingBusiness"
"Whanganui","20","0","0","3.4","1406.7","29315","29444","km 1403.6 | New World, Countdown, Pak'nSave. Kathmandu; Wilsons Hunting and Outdoors stores bounce boxes. Accepts resupply boxes."
"1410 km","7","24","37","6.4","1413.1","29339","29481","Whanganui to Bulls"
"1420 km","2","5","10","10.4","1423.6","29344","29491","Whanganui to Bulls"
"1430 km","0","20","22","9.6","1433.2","29365","29513","Whanganui to Bulls"
"1450 km","39","61","22","19.8","1453","29425","29535","Whanganui to Bulls"
"1460 km","47","46","38","10.2","1463.2","29471","29573","Whanganui to Bulls"
"Bulls","51","5","1","1.9","1465.1","29476","29574","km 1462.1 | Four Square at 114 Bridge St, plus takeaways."
"Bulls Motel and Holiday Park","39","0","12","1.3","1466.4","29476","29586","km 1463.3 | Facilities: Accommodation: motel, tent sites, powered caravan/campervan sites | Address: 2 Bridge Street, Bulls | Phone: (06) 322 0894 | Website: https://www.bullsmotel.co.nz/ | Categories: Motel LodgingBusiness"
"1470 km","100","71","10","6.4","1472.9","29547","29596","Bulls to Feilding"
"1480 km","100","75","75","10.1","1483","29622","29671","Bulls to Feilding"
"Feilding","70","3","33","3.7","1486.7","29625","29704","km 1483.7 | New World, Bin Inn. Friday farmers market. 2-3 km off trail."
"Bunnythorpe","54","3","19","8.9","1495.6","29628","29723","km 1492.7 | Dairy, takeaway bar and toilets, on trail."
"1500 km","38","1","17","7.8","1503.4","29629","29740","Feilding to Palmerston North"
"Palmerston North","34","2","6","2.6","1506.1","29631","29746","km 1503.1 | Pak'nSave, Woolworths, New World, Bin Inn. Full resupply."
"1510 km","60","48","22","6.9","1513","29678","29767","Palmerston North to Poads Road"
"1520 km","182","280","158","9.9","1522.9","29958","29925","Palmerston North to Poads Road"
"1530 km","227","316","272","9.9","1532.8","30274","30196","Palmerston North to Poads Road"
"Moturimu Shelter","357","415","285","6.5","1539.4","30689","30481","km 1536.5 | Facilities: shelter | Categories: Free Shelter and Campsite"
"1540 km","503","157","11","3.5","1542.9","30846","30492","Palmerston North to Poads Road"
"1550 km","293","674","883","10.2","1553.1","31520","31375","Palmerston North to Poads Road"
"Ian and Franks Hut","300","64","57","1.2","1554.2","31584","31432","km 1551.3 | Facilities: Free hut | Categories: Free Shelter and Campsite"
"1560 km","641","511","170","8.7","1563","32094","31603","Palmerston North to Poads Road"
"Millblock Campsite","199","101","542","5.6","1568.5","32195","32145","km 1565.6 | Facilities: campsite | Categories: Free Campsite"
"1570 km","143","38","94","4.4","1572.9","32232","32238","Palmerston North to Poads Road"
"1580 km","615","603","131","10","1582.9","32835","32369","Tararua Ranges"
"Waiopehu Hut","969","415","60","3.9","1586.8","33249","32429","km 1583.9 | Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"Te Matawai Hut","890","505","584","5.4","1592.3","33754","33013","km 1589.3 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1590 km","948","73","15","0.7","1593","33827","33028","Tararua Ranges"
"Dracophyllum Hut","1094","660","513","6.8","1599.8","34486","33541","km 1596.7 | Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1600 km","1019","224","299","3.3","1603","34710","33840","Tararua Ranges"
"Nichols Hut","1199","294","114","1.9","1604.9","35004","33954","km 1601.8 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wairarapa"
"1610 km","301","387","1285","8.4","1613.3","35391","35239","Tararua Ranges"
"Waitewaewae Hut","299","0","2","0.3","1613.6","35391","35241","km 1610.2 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ōtaki Forks area | Region: Wellington/Kapiti"
"1620 km","143","564","720","9.9","1623.4","35955","35961","Tararua Ranges"
"Parawai Lodge","116","0","27","0.2","1623.6","35955","35988","km 1620.1 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ōtaki Forks area | Region: Wellington/Kapiti"
"Boielles Campsite","100","0","16","0.2","1623.8","35955","36004","km 1620.3 | Category: Standard | Facilities: 15 non powered sites, Toilets (flush), water, cooking shelter | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington"
"1630 km","736","847","211","9.6","1633.4","36801","36214","Pukeatua Track"
"1640 km","111","203","828","10","1643.4","37004","37042","Pukeatua Track"
"Waikanae","31","43","123","6.1","1649.5","37048","37165","km 1646.1 | Countdown and New World near the town centre. No backpackers."
"1650 km","15","0","17","3.8","1653.3","37048","37182","Kāpiti Coast"
"El Rancho","11","0","4","0.7","1654","37048","37185","km 1650.7 | Facilities: Waikanae Christian Holiday park, camping ground, accommodation, conference centre, Zenbu Wi-Fi wireless internet, cheap, no time limit wifi hot-spot. | Address: 58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand | Phone: 64 4 902 6287 | Website: http://www.elrancho.co.nz | Categories: RVPark LodgingBusiness"
"Paraparaumu Beach","2","13","22","5.5","1659.5","37060","37207","km 1656.3 | Cafes, shops and a small supermarket."
"1660 km","1","2","3","3.9","1663.5","37062","37210","Kāpiti Coast"
"Paekakariki","19","79","62","8.3","1671.8","37141","37271","km 1668.4 | Dairy/grocery, two fruit and vegetable shops, cafes and a pub."
"1670 km","22","11","7","1.5","1673.3","37152","37279","Escarpment Track"
"1680 km","56","577","543","10.1","1683.4","37729","37822","Ara Harakeke (Flax Pathway)"
"1690 km","24","73","105","10","1693.4","37802","37927","Ara Harakeke (Flax Pathway)"
"Porirua","15","30","39","2.5","1695.9","37832","37966","km 1692.5 | New World, Woolworths and Pak'nSave together, 150 m off trail."
"Camp Elsdon","54","52","14","1.8","1697.6","37884","37979","km 1694.2 | Facilities: Accommodation: tent sites, powered caravan/campervan sites, dump station | Address: 18 Raiha Street, Porirua | Phone: (04) 237 8987 | Website: https://www.campelsdon.co.nz/ | Categories: LodgingBusiness"
"1700 km","272","472","255","5.8","1703.4","38356","38234","Rangituhi/ Colonial Knob Walk"
"1710 km","260","282","294","10","1713.4","38638","38528","Rangituhi/ Colonial Knob Walk"
"1720 km","149","458","569","10","1723.4","39096","39096","Ngaio"
"Wellington","6","303","445","6.4","1729.7","39399","39541","km 1726.3 | Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island. Accepts resupply boxes."
"1730 km","124","198","80","3.6","1733.3","39596","39621","Wellington South"
"1740 km","105","426","445","62.7","1796.1","40023","40067","Queen Charlotte Track"
