"Location","Total Distance (km)","Distance (km)","Ascent (m)","Descent (m)","Total Ascent (m)","Total Descent (m)","Notes"
"Taumarunui Holiday Park turnoff","1059.9","176.5","3762","3667","22155","22126","km 1060.3 | Leave the trail here for Taumarunui Holiday Park (caravan-park), 3.4 km off trail. | Facilities: cabins, camping | Address: 487 Totara Street, Manunui 3946 | Phone: 0800 473 281 | Website: http://www.taumarunuiholidaypark.co.nz | Categories: RVPark LodgingBusiness"
"Whakapapa Village","1171.1","111.2","3952","2998","26108","25124","km 1172.1 | Camp store carries little more than ice blocks and muesli bars. Not a resupply."
"Whakapapa Holiday Park","1171.3","0.2","8","0","26116","25124","km 1172.3 | Facilities: Holiday park accommodation. DOC conservation campsite, tent sites for camping, powered sites for campervans | Address: Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu | Phone: 07 892 3897 | Website: https://www.whakapapa.net.nz/ | Categories: RVPark LodgingBusiness"
"National Park (Waimarino)","1192.1","20.8","305","639","26420","25763","km 1193.2 | Four Square, well stocked with dehydrated meals and gas. First real shop since Whanganui."
"Pipiriki","1312.8","120.7","2836","3598","29256","29361","km 1313.6 | Minimal cafe and shop at the campground. Jetboat transfers."
"Wanganui Top 10 Holiday Park","1395.9","83.1","57","77","29313","29438","km 1396.7 | Facilities: Holiday park accommodation, motel units, campground, motorhomes, campervans, tent & powered sites | Address: 460 Somme Parade, Upper Aramoho, Wanganui | Phone: (06) 343 8402 | Website: http://www.wrivertop10.co.nz | Categories: RVPark LodgingBusiness"
"Whanganui","1402.7","6.9","0","0","29313","29438","km 1403.6 | New World, Countdown, Pak'nSave. Kathmandu; Wilsons Hunting and Outdoors stores bounce boxes. Accepts resupply boxes."
"Bulls Motel and Holiday Park","1462.4","59.7","161","142","29474","29579","km 1463.3 | Facilities: Accommodation: motel, tent sites, powered caravan/campervan sites | Address: 2 Bridge Street, Bulls | Phone: (06) 322 0894 | Website: https://www.bullsmotel.co.nz/ | Categories: Motel LodgingBusiness"
"El Rancho","1650","187.6","7572","7600","37045","37179","km 1650.7 | Facilities: Waikanae Christian Holiday park, camping ground, accommodation, conference centre, Zenbu Wi-Fi wireless internet, cheap, no time limit wifi hot-spot. | Address: 58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand | Phone: 64 4 902 6287 | Website: http://www.elrancho.co.nz | Categories: RVPark LodgingBusiness"
"Paraparaumu Beach","1655.6","5.5","13","22","37058","37201","km 1656.3 | Cafes, shops and a small supermarket."
"Paekakariki","1667.8","12.3","81","64","37139","37265","km 1668.4 | Dairy/grocery, two fruit and vegetable shops, cafes and a pub."
"Wellington","1725.7","57.9","2257","2270","39396","39535","km 1726.3 | Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island. Accepts resupply boxes."
"Trail ends - Te Moana O Raukawa","1738.3","12.6","499","498","39895","40033","The walking route stops here and starts again 52.7 km away. Crossed by Picton to Ship Cove - Water Taxi and Te Moana O Raukawa - Ferry Crossing."
"Picton Holiday Park turnoff","1802","63.6","3946","3763","43842","43796","km 1802.6 | Leave the trail here for Picton Holiday Park (caravan-park), 6.1 km off trail. | Facilities: Holiday park, campground, motorhomes, campervans, tent sites for camping | Address: 5 Waimarama Street Picton 7220 | Phone: 03 573 7212 | Website: https://tasmanholidayparks.com/nz/picton/ | Categories: RVPark LodgingBusiness"
"Alexanders Holiday Park turnoff","1802","0","0","0","43842","43796","km 1802.6 | Leave the trail here for Alexanders Holiday Park (accommodation), 6.5 km off trail. | Facilities: Accommodation: cabins, tent sites powered and unpowered, caravans, campervans, dump station | Address: 2 Canterbury Street, Picton | Phone: (03) 573 6378 | Website: https://www.alexanderspicton.co.nz/ | Categories: LodgingBusiness"
"Havelock Holiday Park","1828.4","26.4","1056","1236","44898","45032","km 1829.0 | Facilities: Accommodation: basic cabins, tent sites, powered caravan/campervan sites, dump station | Address: 24 Inglis Street, Havelock | Phone: 021 082 67068 | Website: https://www.havelockholidaypark.kiwi/#/ | Categories: LodgingBusiness"
"Havelock","1828.4","0","0","0","44898","45032","km 1829.1 | Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels. Accepts resupply boxes."
"Pelorus Bridge Campground","1849.7","21.3","83","45","44980","45077","km 1850.4 | Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Pelorus Bridge Scenic Reserve | Region: Marlborough"
"Nelson turnoff","1894.2","44.5","2400","2179","47380","47256","km 1895.0 | Leave the trail here for Nelson (town), 29.0 km off trail. | Supermarkets, outdoor shops, backpackers. About 29 km off trail from Hacket car park. Leave at the Hacket car park, start of the Richmond Alpine Track."
"St Arnaud","1990.6","96.4","6892","6519","54272","53775","km 1990.5 | General store and 24 hr NPD station; DoC centre sells gas and dehydrated meals. Alpine Lodge holds parcels ($15-30). Expensive. Accepts resupply boxes."
"Boyle Village","2108.5","117.9","4169","4219","58441","57994","km 2109.2 | No shop. Boyle River Outdoor Education Centre holds resupply boxes, sells basic food, beds $50. Accepts resupply boxes."
"Arthur's Pass turnoff","2220.9","112.3","2663","2532","61104","60526","km 2222.2 | Leave the trail here for Arthur's Pass (resupply), 4.5 km off trail. | Arthur's Pass Cafe and Store: limited, expensive groceries. DoC centre sells gas. Mountain House holds boxes. Accepts resupply boxes."
"Lake Coleridge Village","2296.8","75.9","1235","1567","62339","62093","km 2298.1 | No shops. Powerhouse Lodge holds bounce boxes and has tent sites. Accepts resupply boxes."
"Trail ends - Rakaia River","2297","0.2","0","19","62339","62111","The walking route stops here and starts again 12.6 km away. Crossed by Rakaia River (Hazard Bypass), published as a bypass with no chainage of its own."
"Peel Forest Campground turnoff","2346.6","49.6","1834","1636","64172","63747","km 2348.1 | Leave the trail here for Peel Forest Campground (campsite), 34.7 km off trail. | Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Peel Forest Park Scenic Reserve | Region: Canterbury"
"Peel Forest turnoff","2366.3","19.7","311","409","64483","64156","km 2367.8 | Leave the trail here for Peel Forest (resupply), 50.0 km off trail. | DoC Peel Forest camp and a small store. Homestay offers transport to the trailhead. Leave at the Rangitata River."
"Trail ends - Rangitata River","2366.3","0","0","0","64483","64156","The walking route stops here and starts again 7.0 km away. Crossed by Rangitata River (Hazard Bypass), published as a bypass with no chainage of its own."
"Lake Tekapo Motels & Holiday Park turnoff","2441.1","74.8","2719","2507","67202","66663","km 2442.3 | Leave the trail here for Lake Tekapo Motels & Holiday Park (caravan-park), 1.0 km off trail. | Facilities: Budget holiday park accommodation, backpacker accommodation, motorcamp, campervan sites, tourist flats, tent sites for camping and cabins with all the modern campground facilities | Address: 2 Lakeside Drive, Lake Tekapo | Phone: 0800 853 853 | Website: http://www.laketekapo-accommodation.co.nz/ | Categories: Motel RVPark"
"Lake Hāwea","2613","171.9","4767","5132","71969","71795","km 2613.8 | Sailz general store with cafe, open to 9pm; FreshChoice on Bodkin St; Hawea Hotel for pub food."
"Wanaka Top 10 Holiday Park turnoff","2639.8","26.8","109","190","72077","71985","km 2640.6 | Leave the trail here for Wanaka Top 10 Holiday Park (accommodation), 0.9 km off trail. | Facilities: Accommodation: tents, powered caravan/campervan sites, dump station | Address: 263 Studholme Road, Wanaka | Phone: 0800 229 8439 | Website: http://www.campervanpark.co.nz | Categories: LodgingBusiness"
"Arrowtown Hampshire Holiday Park turnoff","2704","64.3","3876","3737","75953","75721","km 2704.4 | Leave the trail here for Arrowtown Hampshire Holiday Park (accommodation), 0.7 km off trail. | Facilities: Accommodation: tents, powered/nonpowered caravans/campervans, dump station | Address: 12 Centennial Avenue, Arrowtown 9302 | Phone: 64 3 4421876 | Website: https://hampshireholidayparks.co.nz/park/arrowtown-holiday-park/ | Categories: LodgingBusiness"
"Queenstown","2733.2","29.1","308","418","76261","76139","km 2733.7 | FreshChoice, Four Square, outdoor stores. Full gear replacement."
"Queenstown Holiday Park Creeksyde turnoff","2733.3","0.1","3","0","76264","76139","km 2733.8 | Leave the trail here for Queenstown Holiday Park Creeksyde (caravan-park), 0.7 km off trail. | Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 54 Robins Road, Queenstown | Phone: (03) 442 9447 | Website: http://www.camp.co.nz | Categories: RVPark LodgingBusiness"
"Trail ends - Lake Wakatipu","2733.3","0","0","0","76264","76139","The walking route stops here and starts again 26.5 km away. Crossed by Lake Wakatipu Bypass, published as a bypass with no chainage of its own."
"Glenorchy turnoff","2733.4","0.1","3","0","76266","76139","km 2733.8 | Leave the trail here for Glenorchy (resupply), 25.0 km off trail. | Glenorchy Hotel general store. About 1.5 hr drive from the Greenstone car park. Leave at the Greenstone car park."
"Otautau turnoff","2958.8","225.4","6031","6272","82298","82411","km 2960.1 | Leave the trail here for Otautau (resupply), 16.0 km off trail. | Small supermarket, hotels with backpacker beds. About 12-16 km east of Merrivale Rd. Leave at Merrivale Rd."
"Colac Bay turnoff","2995","36.2","634","706","82932","83116","km 2996.5 | Leave the trail here for Colac Bay (food), 1.4 km off trail. | Colac Bay Bakehouse and Cafe with a camping ground; shop operating."
"Riverton","3005.9","10.9","253","247","83185","83364","km 3007.6 | FreshChoice/SuperValue on Palmerston St, cafes and takeaways. Holiday park."
"End: Te Araroa (SOBO)","3071.4","65.5","496","501","83681","83865",""
