"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"858","2215.2","Goat Pass Hut","hut","DOC","Boyle to Arthur's Pass","South","1071","11","2.5","2.2","205","15","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c4c0cef1b00541e29d54b1868c31a10c.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: Canterbury"
"860.3","2213","Upper Deception Hut","hut","DOC","Boyle to Arthur's Pass","South","759","3","2.2","25.2","9","321","","Yes","","Yes","","","","https://www.doc.govt.nz/link/54f96dad3b8f4e758a282bce909bb920.aspx","Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: Canterbury"
"885.4","2187.8","Kiwi Hut","hut","DOC","Boyle to Arthur's Pass","South","337","306","25.2","8.1","131","553","","Yes","","Yes","","","","https://www.doc.govt.nz/link/9f385509c69a4f2888cc4e44126e4614.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: West Coast"
"893.5","2179.7","Locke Stream Hut","hut","DOC","Boyle to Arthur's Pass","South","498","15","8.1","6.2","169","8","","Yes","","Yes","","","","https://www.doc.govt.nz/link/e91a86acf13b4d3f9c500dfdcff98293.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: West Coast"
"899.6","2173.6","Harper Pass Bivvy","hut","DOC","Boyle to Arthur's Pass","South","835","26","6.2","5.6","547","210","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c2608ab3810e4048b84afe062a118688.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"905.2","2168","Camerons Hut","hut","DOC","Boyle to Arthur's Pass","South","699","2","5.6","3.7","55","191","","Yes","","Yes","","","","https://www.doc.govt.nz/link/614720484d7d47639e31a00f0f8248be.aspx","Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"908.9","2164.3","Hurunui No. 3 Hut","hut","DOC","Boyle to Arthur's Pass","South","643","11","3.7","10","8","64","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4154121ceee1404193f6875ed1abfb63.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"918.8","2154.4","Hurunui Hut","hut","DOC","Boyle to Arthur's Pass","South","615","24","10","17.7","195","224","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d3a1c61a8d574f1793a11c0c50d3c877.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"936.6","2136.6","Hope Kiwi Lodge","hut","DOC","Boyle to Arthur's Pass","South","640","20","17.7","7.4","481","456","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/b390bd24951444bc8de66e23e2ce547a.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Lake Sumner Forest Park | Region: Canterbury"
"944","2129.3","Hope Halfway Hut","hut","DOC","Boyle to Arthur's Pass","South","567","20","7.4","19.9","95","168","","Yes","","Yes","","","","https://www.doc.govt.nz/link/2fb0c49defa5497694ecb21a8729bf29.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"963.8","2109.4","Hanmer Springs","town","Resupply","Waiau Pass Track","South","583","55000","19.9","0.1","429","413","","","","","","","","","Four Square, hot pools, backpackers. About 55 km off trail from Boyle; shuttle or hitch. Leave at Boyle Village on SH7; shuttle or hitch."
"963.9","2109.3","Boyle Campsite","campsite","DOC","Waiau Pass Track","South","583","30","0.1","0.1","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6dcec8a03cce41b48e73eceec1bf47f0.aspx","Category: Standard | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"964","2109.2","Boyle Village","resupply","Resupply","Waiau Pass Track","South","583","5","0.1","8.6","0","0","","","","","","","","","No shop. Boyle River Outdoor Education Centre holds resupply boxes, sells basic food, beds $50. Accepts resupply boxes."
"972.6","2100.6","Magdalen Hut","hut","DOC","Waiau Pass Track","South","763","436","8.6","3.8","337","156","","Yes","","Yes","","","","https://www.doc.govt.nz/link/aba6d10d76174cbb857f7eb154f5b815.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Included in The Trail Pass | Place: St James Conservation Area | Region: Canterbury"
"976.3","2096.9","Boyle Flat Hut","hut","DOC","Waiau Pass Track","South","792","193","3.8","4","198","170","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/c298b98968594849a80ad6f77caee3f9.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: St James Conservation Area | Region: Canterbury"
"980.4","2092.9","Rokeby Hut","hut","DOC","Waiau Pass Track","South","856","57","4","11.6","127","63","","Yes","","Yes","","","","https://www.doc.govt.nz/link/2a848ba07ff04686b93e21b1d9c3f481.aspx","Category: Basic/bivvies | Facilities: Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: St James Conservation Area | Region: Canterbury"
"992","2081.3","Cannibal Gorge Hut","hut","DOC","Waiau Pass Track","South","902","7721","11.6","0.7","387","341","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0363733c4bb448eb95a957657c27f4df.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Lewis Pass Scenic Reserve | Region: West Coast"
"992.7","2080.5","Ada Pass Hut","hut","DOC","Waiau Pass Track","South","880","7537","0.7","1.2","3","24","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/3ef43190e71441e2ac7e007c520f3049.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Lewis Pass Scenic Reserve | Region: West Coast"
"993.8","2079.4","Anne Hut","hut","DOC","Waiau Pass Track","South","888","4","1.2","10.4","27","19","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6382f58f66104b849fd0cc8b6d4e885a.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: St James Conservation Area | Region: Canterbury"
"1004.2","2069","Christopher (Ada) Cullers Hut","hut","DOC","Waiau Pass Track","South","758","5113","10.4","0","86","216","","Yes","","Yes","","","","https://www.doc.govt.nz/link/f61e5cf3abc642b89851966f6f375c89.aspx","Category: Basic | Facilities: Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Included in The Trail Pass | Place: St James Conservation Area | Region: Canterbury"
"1004.2","2069","Christopher Hut","hut","DOC","Waiau Pass Track","South","758","4320","0","15.6","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/37715c0b499e4cb3a714175e030a850d.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: St James Conservation Area | Region: Canterbury"
"1019.8","2053.4","Waiau Hut","hut","DOC","Waiau Pass Track","South","859","20","15.6","16.3","152","51","","Yes","","Yes","","","","https://www.doc.govt.nz/link/3f5b4b54c38b4425b5e6091741e84aed.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: St James Conservation Area | Region: Canterbury"
"1036.1","2037.1","Blue Lake Hut","hut","DOC","Waiau Pass Track","South","1192","47","16.3","7.2","1209","876","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0f9daff8b2c44b1a9c2260c216c7f236.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1043.3","2029.9","West Sabine Hut","hut","DOC","Waiau Pass Track","South","680","8","7.2","8.1","46","558","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/9bd89fc2385b420a88ef166676c48f6d.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1051.4","2021.8","Upper Travers Hut","hut","DOC","Waiau Pass Track","South","1319","47","8.1","6.2","1253","614","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/ed5dfe642ef840c7bac4187bef46cb08.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1057.7","2015.5","John Tait Hut","hut","DOC","Waiau Pass Track","South","813","5","6.2","3.6","52","558","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/9365d0e637ea4bc59f3dd2692b942f7c.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1061.3","2012","Sabine Hut","hut","DOC","Waiau Pass Track","South","738","10458","3.6","10.9","60","135","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/a3f4c1f4e4bd4f3b9b883368e1386e96.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1072.2","2001","Lakehead Hut","hut","DOC","Waiau Pass Track","South","621","9","10.9","0.8","136","253","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/9f587ce82e1844828f736a7c2dbc5a67.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1073","2000.2","Coldwater Hut","hut","DOC","Waiau Pass Track","South","620","425","0.8","0.1","2","3","","Yes","","Yes","","","","https://www.doc.govt.nz/link/ec243547389e4a94b83f927a8a98afa9.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1073.1","2000.1","Speargrass Hut","hut","DOC","Waiau Pass Track","South","620","6044","0.1","8.9","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/2be981dc0ba74ba991bc690139b81282.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1082.1","1991.1","Kerr Bay Campsite","campsite","DOC","Waiau Pass Track","South","628","110","8.9","0.7","140","132","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/d734a70dd6584ff995102388fb169168.aspx","Category: Serviced | Facilities: Boat launching, Cookers/electric stove, Dump station, Non-powered/tent sites, Powered sites, Shelter for cooking, Shower - hot, Toilets - flush, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"1082.7","1990.5","St Arnaud","resupply","Resupply","Richmond Alpine Track","South","640","5","0.7","20.5","12","0","","","","","","","","","General store and 24 hr NPD station; DoC centre sells gas and dehydrated meals. Alpine Lodge holds parcels ($15-30). Expensive. Accepts resupply boxes."
"1103.2","1970","Red Hills Hut","hut","DOC","Richmond Alpine Track","South","904","53","20.5","11.3","978","714","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4aa7dc66ccc147b6999349d86e6eafd0.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1114.5","1958.7","Porters Creek Hut","hut","DOC","Richmond Alpine Track","South","895","2","11.3","6.8","671","680","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6af41d9fa22b474cbf477321b3f0bde1.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1121.3","1951.9","Hunters Hut","hut","DOC","Richmond Alpine Track","South","842","6","6.8","10.2","519","572","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4779357f75c645358c4c23ab4017f2b2.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1131.5","1941.7","Top Wairoa Hut","hut","DOC","Richmond Alpine Track","South","858","13","10.2","6.9","819","803","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c87b1791147e451fb37c99bf5891a03f.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1138.4","1934.8","Mid Wairoa Hut","hut","DOC","Richmond Alpine Track","South","379","5","6.9","6.8","119","597","","Yes","","Yes","","","","https://www.doc.govt.nz/link/1c5a5813e29545cd88584224df3513c1.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1145.2","1928","Tarn Hut","hut","DOC","Richmond Alpine Track","South","1020","9","6.8","8.3","959","318","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d7d5f551bb584272bea9a9177d59927c.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1153.5","1919.7","Mt Rintoul Hut","hut","DOC","Richmond Alpine Track","South","1236","3","8.3","4.8","695","480","","Yes","","Yes","","","","https://www.doc.govt.nz/link/bc782d530e4a4aed90ba579583b4d861.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1158.3","1915","Old Man Hut","hut","DOC","Richmond Alpine Track","South","1316","613","4.8","8.1","759","679","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d9248299483640cda4dc33f1d497f33d.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1166.4","1906.8","Slaty Hut","hut","DOC","Richmond Alpine Track","South","1388","10","8.1","4.9","592","520","","Yes","","Yes","","","","https://www.doc.govt.nz/link/dfc191ebf2a14b208aa546f836240b40.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1171.3","1901.9","Starveall Hut","hut","DOC","Richmond Alpine Track","South","1187","83","4.9","5.9","294","495","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8b403b57449f4588b55ea676a01d47b4.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1177.2","1896","Hacket Hut","hut","DOC","Richmond Alpine Track","South","260","3","5.9","1","59","986","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8a7754d26feb413ea177fa006ce6ec5b.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1178.2","1895","Nelson","town","Resupply","Richmond Alpine Track","South","267","29000","1","2.4","55","48","","","","","","","","","Supermarkets, outdoor shops, backpackers. About 29 km off trail from Hacket car park. Leave at the Hacket car park, start of the Richmond Alpine Track."
"1180.6","1892.6","Browning Hut","hut","DOC","Pelorus River Track","South","481","2","2.4","10.7","243","28","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4ba6f86f2030455e9a60bae6f4744ed8.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1191.2","1882","Rocks Hut","hut","DOC","Pelorus River Track","South","810","5","10.7","4.8","730","402","","Yes","","Yes","","","","https://www.doc.govt.nz/link/023da8553a7f49fa849a4cdbae8e806c.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1196","1877.2","Middy Creek Hut","hut","DOC","Pelorus River Track","South","158","23","4.8","4.8","21","673","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6a16800d8ec84e2cab775a8146096246.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1200.8","1872.4","Captains Creek Hut","hut","DOC","Pelorus River Track","South","121","70","4.8","22","350","387","","Yes","","Yes","","","","https://www.doc.govt.nz/link/24384e1bdf7544549153aef93ce5f7dc.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1222.8","1850.4","Pelorus Bridge Campground","campsite","DOC","Pelorus River Track","South","68","385","22","21.4","836","888","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/13f853ce73b8447eb57ed9fe85c33d6e.aspx","Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Pelorus Bridge Scenic Reserve | Region: Marlborough"
"1244.2","1829.1","Havelock","town","Resupply","Anakiwa to Pelorus Bridge","South","13","51","21.4","0.1","45","100","","","","","","","","","Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels. Accepts resupply boxes."
"1244.2","1829","Havelock Holiday Park","accommodation","Private","Anakiwa to Pelorus Bridge","South","9","17","0.1","22.7","0","5","","","","","021 082 67068","24 Inglis Street, Havelock","","https://www.havelockholidaypark.kiwi/#/","Facilities: Accommodation: basic cabins, tent sites, powered caravan/campervan sites, dump station | Address: 24 Inglis Street, Havelock | Phone: 021 082 67068 | Website: https://www.havelockholidaypark.kiwi/#/ | Categories: LodgingBusiness"
"1266.9","1806.3","Davies Bay Campsite","campsite","DOC","Queen Charlotte Track","South","5","144","22.7","3.7","807","811","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/fbe583efe8904b569a3a4fd59a5dd501.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1270.6","1802.6","Alexanders Holiday Park","accommodation","Private","Queen Charlotte Track","South","189","6464","3.7","0","429","245","","","","","(03) 573 6378","2 Canterbury Street, Picton","","https://www.alexanderspicton.co.nz/","Facilities: Accommodation: cabins, tent sites powered and unpowered, caravans, campervans, dump station | Address: 2 Canterbury Street, Picton | Phone: (03) 573 6378 | Website: https://www.alexanderspicton.co.nz/ | Categories: LodgingBusiness"
"1270.6","1802.6","Picton Holiday Park","caravan-park","Private","Queen Charlotte Track","South","189","6131","0","5.5","0","0","","","","","03 573 7212","5 Waimarama Street Picton 7220","","https://tasmanholidayparks.com/nz/picton/","Facilities: Holiday park, campground, motorhomes, campervans, tent sites for camping | Address: 5 Waimarama Street Picton 7220 | Phone: 03 573 7212 | Website: https://tasmanholidayparks.com/nz/picton/ | Categories: RVPark LodgingBusiness"
"1276.1","1797.1","Eco Village Mistletoe Bay","caravan-park","Private","Queen Charlotte Track","South","94","365","5.5","7.5","200","295","","","","","021 131 8283","Mistletoe Bay Recreation Reserve, Marlborough Sounds","","https://www.mistletoebay.co.nz/","Facilities: Accommodation, camping | Address: Mistletoe Bay Recreation Reserve, Marlborough Sounds | Phone: 021 131 8283 | Website: https://www.mistletoebay.co.nz/ | Categories: RVPark LodgingBusiness"
"1283.6","1789.6","Cowshed Bay Campsite","campsite","DOC","Queen Charlotte Track","South","106","319","7.5","5.1","495","483","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/871fc80fc80643bda32c8c92d357f503.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pelorus Sound/Te Hoiere and Kenepuru Sound area | Region: Marlborough"
"1288.7","1784.5","Black Rock Campsite","campsite","DOC","Queen Charlotte Track","South","321","87","5.1","9.5","442","227","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/249c17cb99de4df78352abfc0bf90251.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1298.2","1775","Bay Of Many Coves Campsite","campsite","DOC","Queen Charlotte Track","South","344","2","9.5","8.6","516","492","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/dc39330f148546d3a7cc520648aa478b.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1306.8","1766.4","Camp Bay Campsite","campsite","DOC","Queen Charlotte Track","South","19","36","8.6","21.8","369","694","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/b83c41525a7e44f5a68e43f3dba66806.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1328.6","1744.6","Schoolhouse Bay Campsite","campsite","DOC","Queen Charlotte Track","South","24","2","21.8","5.7","1288","1284","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/dd981b90ab7c419ab90e3d4aea0e7a20.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
