"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Leg crosses","Leg gap km","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"198.4","198.4","Puketi Recreation Area Campsite","campsite","DOC","The Northland Forests","North","340","13","20.6","0.1","746","708","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0ae368ae422245ea85a7b4271edb7484.aspx","Category: Standard | Facilities: BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Puketi and Omahuta Forests | Region: Northland"
"198.4","198.4","Puketi Forest Hut","hut","DOC","The Northland Forests","North","340","16","0.1","23.2","0","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/de31f23db252446cad29c2e6de41e3ef.aspx","Category: Serviced | Facilities: Cooking, Heating, Mattresses, Lighting, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping (booking required) next to hut included in The Trail Pass. | Place: Puketi and Omahuta Forests | Region: Northland"
"221.6","221.6","Kerikeri","town","Resupply","Mangakaretu to Kerikeri","North","39","729","23.2","23.6","108","409","","","","","","","","","","","New World and Countdown. Full resupply, hostels."
"245.2","245.2","Paihia","town","Resupply","Paihia to Ōpua Coastal Walkway","North","5","16","23.6","3.4","470","504","","","","","","","","","","","Countdown Central plus a larger Countdown at Waitangi. Four Square on Williams Rd."
"248.5","248.5","Paihia Top 10 Holiday Park","accommodation","Private","Paihia to Ōpua Coastal Walkway","North","5","60","3.4","3.4","65","65","","","","","","","(09) 402 7678","1290 State Highway 11, Paihia,","9:00am - 6:00pm","http://www.beachsideholiday.co.nz","Facilities: Accommodation: powered caravan/campervan sites, tents, Kayak hire, dump station | Address: 1290 State Highway 11, Paihia, | Phone: (09) 402 7678 | Hours: 9:00am - 6:00pm | Website: http://www.beachsideholiday.co.nz | Categories: LodgingBusiness"
"251.9","251.9","Opua","resupply","Resupply","Waikare Connection - by Water","North","0","49","3.4","70.6","79","85","","","","","","","","","","","Small general store, expensive. Ferry point."
"322.5","322.5","Whananaki","resupply","Resupply","Waikare to Ngunguru","North","6","1221","70.6","8.7","1695","1689","","","","","","","","","","","Whananaki Superette: limited supplies. Holiday park with a hut for TA walkers."
"331.2","331.2","Matapouri","resupply","Resupply","Waikare to Ngunguru","North","19","2919","8.7","16.4","308","295","","","","","","","","","","","Small general store."
"347.6","347.6","Ngunguru","resupply","Resupply","Waikare to Ngunguru","North","2","40","16.4","1.6","430","447","","","","","","","","","","","Four Square dairy and takeaway, plus cafes. Limited and expensive."
"349.1","349.1","Nikau Bay","campsite","Private","Ngunguru to Pataua North","North","16","69","1.6","58.2","16","2","","","","","","","","","","",""
"407.3","407.3","Whangarei","town","Resupply","Bream Bay Walk","North","2","36000","58.2","6.8","1908","1915","Whangarei Heads","1.1","","","","","","","","","Countdown and Woolworths, hostels, buses. Inland from the Heads; a detour, not on route. Leave at the Whangarei Heads / Marsden Point crossing."
"414.1","414.1","Ruakaka","town","Resupply","Bream Bay Walk","North","0","1281","6.8","3.9","2","4","","","","","","","","","","","FreshChoice supermarket and takeaways."
"418","418","Ruakaka Reserve Motor Camp","caravan-park","Private","Bream Bay Walk","North","1","342","3.9","3.5","3","1","","","","","","","(09) 432 7590","21 Ruakaka Beach Road","","http://www.motorcamp.co.nz/","Facilities: motor camp | Address: 21 Ruakaka Beach Road | Phone: (09) 432 7590 | Website: http://www.motorcamp.co.nz/ | Categories: RVPark LodgingBusiness"
"421.5","421.5","Uretiti Beach Campsite","campsite","DOC","Bream Bay Walk","North","2","142","3.5","6.9","6","5","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6c1bd6b65cc247259685a1a3407b1ad8.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Waipu area | Region: Northland"
"428.4","428.4","Waipu","town","Resupply","Bream Bay Walk","North","17","11","6.9","7.4","28","13","","","","","","","","","","","Four Square, cafes, hotel with budget rooms. Camp Waipu Cove has a dairy."
"435.7","435.7","Camp Waipu Cove","food","Private","Cullen Brynderwyn Walkway","North","65","951","7.4","8.6","70","22","","","","","","","(09) 432 0410","869 Cove Road, Waipu Cove Waipu 0582","","http://www.campwaipucove.com","Facilities: camping ground | Address: 869 Cove Road, Waipu Cove Waipu 0582 | Phone: (09) 432 0410 | Website: http://www.campwaipucove.com | Categories: BarOrPub"
"444.3","444.3","Waorahi Campsite","campsite","Private","Cullen Brynderwyn Walkway","North","261","19","8.6","12.6","418","222","","","","","","","","","","",""
"456.9","456.9","Mangawhai Heads Holiday Park","campsite","Private","Mangawhai to Pākiri","North","8","27","12.6","1.5","405","658","","","","","","","","","","",""
"458.4","458.4","Mangawhai Heads","resupply","Resupply","Mangawhai to Pākiri","North","26","3","1.5","4.4","36","18","","","","","","","","","","","Four Square at 3 Wood St. Holiday park."
"462.8","462.8","Mangawhai","town","Resupply","Mangawhai to Pākiri","North","11","6","4.4","1.5","29","44","","","","","","","","","","","New World 1 km north of the village, plus a Four Square."
"464.3","464.3","Riverside Holiday Park","accommodation","Private","Mangawhai to Pākiri","North","7","50","1.5","21.2","3","7","","","","","","","(09) 431 4825","Black Swamp Road, Mangawhai","","https://www.riversideholidaypark.co.nz/","Facilities: Holiday park accommodation, camping ground | Address: Black Swamp Road, Mangawhai | Phone: (09) 431 4825 | Website: https://www.riversideholidaypark.co.nz/ | Categories: LodgingBusiness"
"485.5","485.5","Pakiri Beach Holiday Park","food","Private","Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","5","28","21.2","2.6","121","123","","","","","","","(09) 422 6199","261 Pakiri River Road, Pakiri","9:00am - 5:00pm","http://www.pakiriholidaypark.co.nz/","Facilities: Holiday park, campground, accommodation, lodges, flats, self contained units, store. Dump station. | Address: 261 Pakiri River Road, Pakiri | Phone: (09) 422 6199 | Hours: 9:00am - 5:00pm | Website: http://www.pakiriholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"488.1","488.1","Pakiri Beach Holiday Park","resupply","Resupply","Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","40","3","2.6","6.8","48","13","","","","","","","","","","","Camp store: food, drinks, milk, bread. 9am-5pm summer only."
"494.9","494.9","Happy Dayz Accomodation","accommodation","Private","Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","318","5007","6.8","13.3","595","317","","","","","","","09 422 7149","84 Omaha Flats Rd, Matakana","8:00am- 8:00pm","","Facilities: Backpacker accommodation, camping | Address: 84 Omaha Flats Rd, Matakana | Phone: 09 422 7149 | Hours: 8:00am- 8:00pm | Categories: Hostel LodgingBusiness"
"508.2","508.2","Warkworth","town","Resupply","Govan Wilson to Pūhoi Valley","North","306","6000","13.3","25","621","632","","","","","","","","","","","Countdown, New World and a Bin Inn. About 6 km off trail. Short detour off the Dome Valley section."
"533.2","533.2","Remiger Road Campsite","campsite","DOC","Govan Wilson to Pūhoi Valley","North","25","32","25","6","894","1175","","","","","","Yes","","","","","Category: Backcountry | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Remiger Rd | Region: Puhoi"
"539.1","539.1","Puhoi","resupply","Resupply","Pūhoi to Wenderholm Kayak","North","20","45","6","10.3","238","244","","","","","","","","","","","General store 7am-7pm, historic pub, three cafes."
"549.4","549.4","Wenderholm Regional Park","campsite","Private","Wenderholm to Stillwater","North","16","392","10.3","7.4","192","196","","","","","","","(09) 301 0101","37 Schishka Rd,Hibiscus Coast, Rodney County","Summer: 6:00am - 9:00pm Winter: 6:00am - 7:00pm","https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3411","Facilities: camping, bbq, beach, picnic | Address: 37 Schishka Rd,Hibiscus Coast, Rodney County | Phone: (09) 301 0101 | Hours: Summer: 6:00am - 9:00pm Winter: 6:00am - 7:00pm | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3411 | Categories: Park"
"556.8","556.8","Orewa","town","Resupply","Wenderholm to Stillwater","North","0","486","7.4","1.5","96","112","","","","","","","","","","","New World and Countdown, cafes, outdoor shops."
"558.3","558.3","Ōrewa Beach Holiday Park","caravan-park","Private","Wenderholm to Stillwater","North","1","189","1.5","0.1","1","0","","","","","","","0800 673 921","265 Hibiscus Coast Highway, Orewa Beach","","https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about","Facilities: Holiday park accommodation, tent sites for camping, powered sites for campervans, cabins | Address: 265 Hibiscus Coast Highway, Orewa Beach | Phone: 0800 673 921 | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about | Categories: RVPark LodgingBusiness"
"558.4","558.4","Red Beach Top 10 Holiday Park","accommodation","Private","Wenderholm to Stillwater","North","1","649","0.1","4.5","0","0","","","","","","","(09) 426 4526","23 Marie Ave, Red Beach, Orewa, Hibiscus Coast, Auckland","","http://www.pinewoods.co.nz","Facilities: Holiday campground, caravans, tents, motor homes, children's playground, trampoline | Address: 23 Marie Ave, Red Beach, Orewa, Hibiscus Coast, Auckland | Phone: (09) 426 4526 | Website: http://www.pinewoods.co.nz | Categories: LodgingBusiness"
"562.9","562.9","Silverdale","town","Resupply","Wenderholm to Stillwater","North","9","14","4.5","23.7","77","69","","","","","","","","","","","Silverdale Centre: Woolworths, Macpac, Kathmandu, ATMs."
"586.6","586.6","Browns Bay","town","Resupply","North Shore Coastal Walk","North","1","136","23.7","19","633","641","","","","","","","","","","","New World and Countdown."
"605.6","605.6","Devonport","town","Resupply","North Shore Coastal Walk","North","4","227","19","1.8","298","295","","","","","","","","","","","New World. Ferry to the city."
"607.5","607.5","Auckland CBD","town","Resupply","Coast to Coast Walkway","North","40","598","1.8","15.4","40","7","Devonport","2.9","","","","","","","","","Full resupply and gear replacement. Metro supermarkets are smaller than suburban ones."
"622.8","622.8","Mangere Bridge","town","Resupply","Onehunga to Puhinui","North","2","395","15.4","3.5","250","288","","","","","","","","","","","FreshChoice, slightly off trail."
"626.3","626.3","Ambury Regional Park","campsite","Private","Onehunga to Puhinui","North","1","53","3.5","36.4","11","12","","","","","","","09 301 0101","Ambury Road, Mangere","8am-6:30pm (winter), 8am-9pm (summer)","https://www.aucklandcouncil.govt.nz/parkmaps/map-ambury-regional-park.pdf","Facilities: Regional park, working farm, picnic sites, campervan parking, camping ground accommodation | Address: Ambury Road, Mangere | Phone: 09 301 0101 | Hours: 8am-6:30pm (winter), 8am-9pm (summer) | Website: https://www.aucklandcouncil.govt.nz/parkmaps/map-ambury-regional-park.pdf | Categories: Park"
"662.7","662.7","Papakura","town","Resupply","Botanic Gardens to Mangatāwhiri","North","20","1357","36.4","7.8","151","132","","","","","","","","","","","Pak'nSave, Countdown, New World."
"670.5","670.5","Upper Mangatawhiri Campground","campsite","Private","Botanic Gardens to Mangatāwhiri","North","49","15725","7.8","0","47","17","","","","","","","","","","","Facilities: Auckland Council"
"670.5","670.5","Repeater Campground","campsite","Private","Botanic Gardens to Mangatāwhiri","North","49","14474","0","23.3","0","0","","","","","","","","","","","Facilities: Auckland Council"
"693.8","693.8","Mangatangi Trig Campground","campsite","Private","Mangatāwhiri to Mercer","North","20","14887","23.3","0","545","574","","","","","","","","","","","Facilities: Auckland Council"
"693.8","693.8","Lower Mangatawhiri Campsite","campsite","Private","Mangatāwhiri to Mercer","North","20","12463","0","9.1","0","0","","","","","","","","","","","Facilities: Auckland Council"
"703","703","Mercer","food","Resupply","Mangatāwhiri to Mercer","North","20","156","9.1","40.7","17","17","","","","","","","","","","","Service centre with food outlets; motel with camping."
"743.7","743.7","Huntly Camping & Caravan Park","accommodation","Private","Rangiriri to Huntly","North","14","571","40.7","1","149","154","","","","","","","07 828 8363","5 Taihua St,Huntly Domain, Huntly","","","Facilities: Accommodation: tent sites, powered caravan/campervan sites, dump station | Address: 5 Taihua St,Huntly Domain, Huntly | Phone: 07 828 8363 | Categories: LodgingBusiness"
"744.7","744.7","Huntly","town","Resupply","Rangiriri to Huntly","North","17","644","1","19.9","6","3","","","","","","","","","","","Woolworths, about 1 km off trail."
"764.5","764.5","Ngaruawahia","town","Resupply","Ngāruawāhia to Hamilton - Te Awa (The River)","North","20","151","19.9","21","839","837","","","","","","","","","","","New World and cafes."
"785.5","785.5","Hamilton","town","Resupply","Hamilton City","North","44","28","21","14.3","65","41","","","","","","","","","","","Pak'nSave, Woolworths, Trek N Travel outdoor store. Full gear replacement."
"799.8","799.8","Whatawhata","food","Resupply","Waipā Walk","North","22","5","14.3","24.9","69","91","","","","","","","","","","","Petrol station store, gastro pub and village cafe."
"824.7","824.7","Kaniwhaniwha Campsite","campsite","DOC","Pirongia Traverse","North","134","13","24.9","8.3","692","580","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/39b29b71a68645bb91a284beb4e8ce9a.aspx","Category: Basic | Facilities: Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"833","833","Pahautea Hut Campsite","hut","DOC","Pirongia Traverse","North","901","4","8.3","0.1","860","92","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/362328c3e2ca47ea88529cbfe15b9d7e.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"833","833","Pāhautea Hut","hut","DOC","Pirongia Traverse","North","901","13","0.1","50.1","0","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/63ba58f15d1a4c848010e394df13a84e.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"883.1","883.1","Waitomo Top 10 Holiday Park","caravan-park","Private","Pirongia to Waitomo","North","64","164","50.1","0.1","1554","2391","","","","","","","(07) 878 7639","12 Waitomo Village Road Waitomo Caves Village 3977","9:00am - 8:00pm","http://www.waitomopark.co.nz","Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 12 Waitomo Village Road Waitomo Caves Village 3977 | Phone: (07) 878 7639 | Hours: 9:00am - 8:00pm | Website: http://www.waitomopark.co.nz | Categories: RVPark LodgingBusiness"
"883.2","883.2","Waitomo","resupply","Resupply","Pehitawa Track","North","79","134","0.1","15.6","14","0","","","","","","","","","","","Waitomo Village Store 7am-7pm, expensive. Cafes and restaurants."
"898.8","898.8","Te Kūiti","town","Resupply","Te Kūiti to Pureora","North","60","61","15.6","57.5","617","636","","","","","","","","","","","New World and SuperValue."
"956.3","956.3","Ngaherenga Campsite","campsite","DOC","Pureora Forest - The Timber Trail","North","566","352","57.5","17","1166","660","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/28723ae27b854818ab3904932dc22fed.aspx","Category: Standard | Facilities: BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"973.2","973.2","Bog Inn Hut","hut","DOC","Pureora Forest - The Timber Trail","North","841","532","17","18.9","657","382","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/221debd600f74c5d943105d46641ff70.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"992.2","992.2","Piropiro Campsite","campsite","DOC","Pureora Forest - The Timber Trail","North","436","232","18.9","41.8","314","719","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/51c87ce258ed4ce8a0ce520d4646c8d9.aspx","Category: Basic | Facilities: Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"1033.9","1033.9","Ongarue Campsite","campsite","Private","Pureora Forest - The Timber Trail","North","200","43","41.8","26.4","769","1005","","","","","","","","","","","Facilities: Te Araroa"
"1060.3","1060.3","Taumarunui Holiday Park","caravan-park","Private","42 Traverse","North","174","3402","26.4","0.2","239","265","","","","","","","0800 473 281","487 Totara Street, Manunui 3946","","http://www.taumarunuiholidaypark.co.nz","Facilities: cabins, camping | Address: 487 Totara Street, Manunui 3946 | Phone: 0800 473 281 | Website: http://www.taumarunuiholidaypark.co.nz | Categories: RVPark LodgingBusiness"
"1060.5","1060.5","Taumarunui","town","Resupply","42 Traverse","North","172","307","0.2","26.5","0","2","","","","","","","","","","","New World at the west end. Seriously Outdoors for gear; canoe hire."
"1087","1087","Owhango","food","Resupply","42 Traverse","North","440","457","26.5","56.9","665","397","","","","","","","","","","","Blue Hill Cafe, 8am-2pm."
"1143.9","1143.9","Mangatepopo Hut","hut","DOC","Tongariro Alpine Crossing","North","1700","5368","56.9","0","2612","1352","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/3aad802a585e496ba8fdd614ddf1b377.aspx","Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1143.9","1143.9","Mangatepopo Campsite","campsite","DOC","Tongariro Alpine Crossing","North","1700","5400","0","12.5","0","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/164b5dfa7a064b49a369bb556a6de369.aspx","Category: Great Walk | Facilities: Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1156.4","1156.4","Waihohonu Campsite","campsite","DOC","Tongariro Alpine Crossing","North","1099","17","12.5","0.1","287","888","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6c7eee2391204afbb9a8716c2a930957.aspx","Category: Serviced | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1156.5","1156.5","Waihohonu Hut","hut","DOC","Tongariro Alpine Crossing","North","1101","12","0.1","5.2","2","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/8d2c9df7e97c4a178fcb02057bd891de.aspx","Category: Serviced | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1161.7","1161.7","Rangipo Hut","hut","DOC","Tongariro Alpine Crossing","North","1242","9753","5.2","10.4","157","17","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/eee3692307b0468c91d966cdb1efe516.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1172.1","1172.1","Whakapapa Village","food","Resupply","Mangatepopo to National Park","North","1137","15","10.4","0.1","237","342","","","","","","","","","","","Camp store carries little more than ice blocks and muesli bars. Not a resupply."
"1172.3","1172.3","Whakapapa Holiday Park","caravan-park","Private","Mangatepopo to National Park","North","1146","26","0.1","6.1","9","0","","","","","","","07 892 3897","Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu","","https://www.whakapapa.net.nz/","Facilities: Holiday park accommodation. DOC conservation campsite, tent sites for camping, powered sites for campervans | Address: Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu | Phone: 07 892 3897 | Website: https://www.whakapapa.net.nz/ | Categories: RVPark LodgingBusiness"
"1178.4","1178.4","Blyth Hut","hut","DOC","Mangatepopo to National Park","North","1145","12186","6.1","0","228","229","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0ca39d7f38e045778d4cbd32856e5e8e.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1178.4","1178.4","Whakapapaiti Hut","hut","DOC","Mangatepopo to National Park","North","1145","2057","0","0","0","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/547fba0f237d4b04b58d64c05a1cc4ca.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1178.4","1178.4","Mangaehuehu Hut","hut","DOC","Mangatepopo to National Park","North","1145","13906","0","1.1","0","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/cd5521b4fd8745d4b72c98459a28e09d.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1179.5","1179.5","Mangaturuturu Hut","hut","DOC","Mangatepopo to National Park","North","1149","8163","1.1","6.1","29","26","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/7d07c815afab4174a4293e22866cdda4.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1185.6","1185.6","Mangahuia Campsite","campsite","DOC","Mangatepopo to National Park","North","881","29","6.1","7.6","22","289","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/2bd99c0658c34f78a0ff0cb38e8928e7.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tongariro National Park | Region: Central North Island"
"1193.2","1193.2","National Park (Waimarino)","resupply","Resupply","National Park to Whanganui River","North","802","393","7.6","51.6","16","94","","","","","","","","","","","Four Square, well stocked with dehydrated meals and gas. First real shop since Whanganui."
"1244.8","1244.8","Whakahoro","food","Resupply","National Park to Whanganui River","North","120","370","51.6","0.2","964","1647","","","","","","","","","","","Blue Duck Cafe 8am-3pm Thu-Mon. DoC campsite. Blue Duck Station does meals and accommodation. Accepts resupply boxes."
"1244.9","1244.9","Whakahoro Campsite","campsite","DOC","National Park to Whanganui River","North","130","9","0.2","1.6","11","1","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/afc10f759fa74e848e4f7c5643dccee9.aspx","Category: Great Walk | Facilities: Boat launching, Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
