"Location","Total Distance (km)","Distance (km)","Ascent (m)","Descent (m)","Total Ascent (m)","Total Descent (m)","Notes"
"El Rancho","1654","187.6","7572","7600","37048","37185","km 1650.7 | Facilities: Waikanae Christian Holiday park, camping ground, accommodation, conference centre, Zenbu Wi-Fi wireless internet, cheap, no time limit wifi hot-spot. | Address: 58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand | Phone: 64 4 902 6287 | Website: http://www.elrancho.co.nz | Categories: RVPark LodgingBusiness"
"Paraparaumu Beach","1659.5","5.5","13","22","37060","37207","km 1656.3 | Cafes, shops and a small supermarket."
"Paekakariki","1671.8","12.3","81","64","37141","37271","km 1668.4 | Dairy/grocery, two fruit and vegetable shops, cafes and a pub."
"Wellington","1729.7","57.9","2257","2270","39399","39541","km 1726.3 | Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island. Accepts resupply boxes."
"Havelock Holiday Park","1885","155.3","5501","5498","44900","45040","km 1829.0 | Facilities: Accommodation: basic cabins, tent sites, powered caravan/campervan sites, dump station | Address: 24 Inglis Street, Havelock | Phone: 021 082 67068 | Website: https://www.havelockholidaypark.kiwi/#/ | Categories: LodgingBusiness"
"Havelock","1885","0","0","0","44900","45040","km 1829.1 | Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels. Accepts resupply boxes."
"Pelorus Bridge Campground","1906.3","21.3","83","45","44982","45085","km 1850.4 | Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Pelorus Bridge Scenic Reserve | Region: Marlborough"
"St Arnaud","2047.3","140.9","9292","8698","54274","53783","km 1990.5 | General store and 24 hr NPD station; DoC centre sells gas and dehydrated meals. Alpine Lodge holds parcels ($15-30). Expensive. Accepts resupply boxes."
"Boyle Village","2165.2","117.9","4169","4219","58443","58002","km 2109.2 | No shop. Boyle River Outdoor Education Centre holds resupply boxes, sells basic food, beds $50. Accepts resupply boxes."
"Lake Coleridge Village","2353.4","188.2","3898","4099","62341","62101","km 2298.1 | No shops. Powerhouse Lodge holds bounce boxes and has tent sites. Accepts resupply boxes."
"Lake Hāwea","2689.2","335.8","9718","9745","72059","71846","km 2613.8 | Sailz general store with cafe, open to 9pm; FreshChoice on Bodkin St; Hawea Hotel for pub food."
"Queenstown","2809.4","120.2","4292","4344","76351","76190","km 2733.7 | FreshChoice, Four Square, outdoor stores. Full gear replacement."
"Riverton","3108.6","299.2","6928","7225","83279","83415","km 3007.6 | FreshChoice/SuperValue on Palmerston St, cafes and takeaways. Holiday park."
"End: Te Araroa","3174.2","65.5","496","501","83775","83916",""
